,contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_SRR3968777,pnps_SRR3963982,pnps_SRR3963456,pnps_SRR3962680,pnps_SRR3965585,pnps_SRR3960578,pnps_SRR3965592,pnps_SRR3964650,pnps_SRR3960580,pnps_SRR3960579,pnps_SRR3960581,pnps_SRR3961935,pnps_SRR3960577,pnps_SRR3967025,pnps_SRR3967700,pnps_SRR3965676,pnps_SRR3965874,pnps_SRR3967699,pnps_SRR3961604,pnps_SRR3960575,pnps_SRR3963449,pnps_SRR3962773,pnps_SRR3963804,pnps_SRR3963658,pnps_SRR3963498,pnps_SRR3968062,pnps_SRR3961047,pnps_SRR3965758,pnps_SRR3965873,pnps_SRR3967905,pnps_SRR3968061,pnps_SRR3965875,pnps_SRR3961906,pnps_SRR3962771,pnps_SRR3963599,pnps_SRR3960576,pnps_SRR3966130,pnps_SRR3967558,pnps_SRR3962772,pnps_SRR3963805,pnps_SRR3963571,pnps_SRR3968063,pnps_SRR3960572,pnps_SRR3963458,pnps_SRR3968060,pnps_SRR3962777,pnps_SRR3962293,pnps_SRR3967319,pnps_SRR3963457,pnps_SRR3967690,pnps_SRR3962508,pnps_SRR3965809,pnps_SRR3960684,pnps_SRR3961936,pnps_SRR3965647,pnps_SRR3963622,pnps_SRR3965586,pnps_SRR3968770
1356,k127_12327933,deep,422787,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2369912913144277,,,,,,,,,,,,,,,,,,,,0.4469643700262934,,,,
1357,k127_12327933,deep,422788,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4093315038327068,,,,,,,,,,,,,,,,,,,,,,,,
1358,k127_12327933,deep,422789,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22989668297868296,,,,,,,,,,,,,,,,,,,,0.3571269426438181,,,,
1359,k127_12327933,deep,422790,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18624516925028411,,,,,,,,,,,,,,,,,,,,0.26039193043588643,,,,
1360,k127_12327933,deep,422791,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1572672199753108,,,,,,,,,,,,,,,,,,,,0.16333466629930402,,,,
1361,k127_12327933,deep,422792,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2616045263292329,,,,,,,,,,,,,,,,,,,,0.4117269899411396,,,,
1362,k127_12327933,deep,422793,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107837193024522,,,,,,,,,,,,,,,,,,,,0.038963218296197685,,,,
1363,k127_12327933,deep,422794,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8883642479021655,,,,,0.5052971718503088,,,,,,,,,,,,,,,0.6509656785777492,,,,
1364,k127_12327933,deep,422795,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6870457787125159,,,,,,,,,,,,,,,,,,,,2.2621396039964994,,,,
1365,k127_12327933,deep,422796,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8827487896185655,,,,,,,,,,,,,,,,,,,,0.6719221036475195,,,,
1366,k127_12327933,deep,422797,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7873709208966115,,,,,,,,,,,,,,,,,,,,0.4830379224608667,,,,
1367,k127_12327933,deep,422798,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4873698534390782,,,,,,,,,,,,,,,,,,,,0.2897546993996273,,,,
1368,k127_12327933,deep,422799,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5606829888371622,,,,,,,,,,,,,,,,,,,,0.3038890812627685,,,,
1369,k127_12327933,deep,422800,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1854338676342845,,,,,,,,,,,,,,,,,,,,,,,,
1370,k127_12327933,deep,422801,non-integron,K,Transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2503349052528768,,,,,,,,,,,,,,,,,,,,,,,,
1371,k127_12327933,deep,422802,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3555852945229364,,,,,,,,,,,,,,,,,,,,,,,,
1372,k127_12327933,deep,422803,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29393672170148955,,,,,,,,,,,,,,,,,,,,0.3160151054987235,,,,
1373,k127_12327933,deep,422804,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5758869443510841,,,,,0.5915399547072082,,,,,,,,,,,,,,,0.7806514502743581,,,,
1374,k127_12327933,deep,422805,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352247363782351,,,,,,,,,,,,,,,,,,,,2.692101020956507,,,,
1375,k127_12327933,deep,422806,non-integron,T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5755935073635038,,,,,,,,,,,,,,,,,,,,0.5404821680258932,,,,
1376,k127_12327933,deep,422807,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25792409149566314,,,,,,,,,,,,,,,,,,,,,,,,
1377,k127_12327933,deep,422808,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12729631841151334,,,,,,,,,,,,,,,,,,,,,,,,
1378,k127_12327933,deep,422809,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.224202050845544,,,,,,,,,,,,,,,,,,,,0.30929523656366925,,,,
1379,k127_12327933,deep,422810,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2460333632061131,,,,,,,,,,,,,,,,,,,,0.14005805190174245,,,,
1380,k127_12327933,deep,422811,non-integron,S,Function unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3588846387924498,,,,,,,,,,,,,,,,,,,,0.7459650958385313,,,,
1381,k127_12327933,deep,422812,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39958542770148703,,,,,,,,,,,,,,,,,,,,0.8579260441194688,,,,
1382,k127_12327933,deep,422813,non-integron,D!!!I,"Cell cycle control, cell division, chromosome partitioning!!!Lipid transport and metabolism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4829198630925471,,,,,,,,,,,,,,,,,,,,1.3919370664476092,,,,
1383,k127_12327933,deep,422814,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5054713587463449,,,,,,,,,,,,,,,,,,,,0.5910672861560501,,,,
1384,k127_12327933,deep,422815,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5766781623527754,,,,,,,,,,,,,,,,,,,,0.8292486936897029,,,,
1385,k127_12327933,deep,422816,non-integron,T!!!T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15541970870371608,,,,,,,,,,,,,,,,,,,,0.2673795327775234,,,,
1386,k127_12327933,deep,422817,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5392912019954285,,,,,,,,,,,,,,,,,,,,,,,,
1387,k127_12327933,deep,422818,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4463038872868135,,,,,,,,,,,,,,,,,,,,3.755952335340949,,,,
1388,k127_12327933,deep,422819,non-integron,S,Function unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5216007710201134,,,,,,,,,,,,,,,,,,,,1.806919064748202,,,,
1389,k127_12327933,deep,422820,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3427327535046019,,,,,,,,,,,,,,,,,,,,5.269334611390705,,,,
1390,k127_12327933,deep,422821,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.863139824357749,,,,,,,,,,,,,,,,,,,,0.7186729717438527,,,,
1391,k127_12327933,deep,422822,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.050430530314895,,,,,9.724091466061386,,,,,,,,,,,,,,,1.7164563610782582,,,,
1392,k127_12327933,deep,422823,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5299302067254722,,,,,,,,,,,,,,,,,,,,,,,,
1393,k127_12327933,deep,422824,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8019403265803688,,,,,,,,,,,,,,,,,,,,1.6705225084650028,,,,
1394,k127_12327933,deep,422825,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5094212120634624,,,,,2.075892857142887,,,,,,,,,,,,,,,1.24471684658319,,,,
1395,k127_12327933,deep,422826,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3007819530192717,,,,,,,,,,,,,,,,,,,,,,,,
1396,k127_12327933,deep,422827,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9094185597350504,,,,,,,,,,,,,,,,,,,,8.810483343994793,,,,
1397,k127_12327933,deep,422828,non-integron,T!!!K,Signal transduction mechanisms!!!Transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.863244664727828,,,,,,,,,,,,,,,,,,,,1.1885598414876848,,,,
1398,k127_12327933,deep,422829,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1158369741212806,,,,,,,,,,,,,,,,,,,,,,,,
1399,k127_12327933,deep,422830,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3496133522385401,,,,,,,,,,,,,,,,,,,,,,,,
1400,k127_12327933,deep,422831,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7531918538631628,,,,,,,,,,,,,,,,,,,,0.4110113413862694,,,,
1401,k127_12327933,deep,422832,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3238560072134185,,,,,,,,,,,,,,,,,,,,1.6790041234455553,,,,
1402,k127_12327933,deep,422833,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7417794444110614,,,,,,,,,,,,,,,,,,,,,,,,
1403,k127_12327933,deep,422834,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6676924531005574,,,,,,,,,,,,,,,,,,,,,,,,
1404,k127_12327933,deep,422835,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622080679578901,,,,,,,,,,,,,,,,,,,,0.4084143147020888,,,,
1405,k127_12327933,deep,422836,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.012705986958933,,,,,,,,,,,,,,,,,,,,2.035034656584761,,,,
1406,k127_12327933,deep,422837,non-integron,E!!!H,Amino acid transport and metabolism!!!Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9318597089962836,,,,,,,,,,,,,,,,,,,,1.5982084982703726,,,,
1407,k127_12327933,deep,422838,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5902369903073843,,,,,,,,,,,,,,,,,,,,1.847344811240473,,,,
1408,k127_12327933,deep,422839,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7192648871157704,,,,,,,,,,,,,,,,,,,,,,,,
1409,k127_12327933,deep,422840,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4601870915597588,,,,,,,,,,,,,,,,,,,,,,,,
1410,k127_12327933,deep,422841,integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9302302059311433,,,,,0.2680568247811875,,,,,,,,,,,,,,,,,,,
1416,k127_8984185,deep,428044,non-integron,R,General function prediction only,,0.11547458557259725,,,,0.08107201426370625,0.14343388439635504,0.10560169330674056,,,,,,,,0.12147369494525352,0.11803529386464587,,,,,0.020475422611636308,,,,,,0.08753245508426166,,,,0.09124043183000696,,0.05618576690702562,,,,,,,,,,0.11542039786672935,,,0.07227463864412723,,,,,,,0.044448353706273216,,0.06272210518437854,,
1419,k127_8984185,deep,428047,non-integron,,,,7.20940451839567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,k127_8984185,deep,428051,non-integron,C,Energy production and conversion,,0.01868181286379164,,,,,0.007013819391987762,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.03739054898732283,,,,,,,,,,,,0.02501647252667239,,,0.017316656950107184,,,,,,,,,,,
1431,k127_627339,deep,435598,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6112937066306123,,,,,,,,,
1433,k127_627339,deep,435600,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46177426579430103,,,,,,,,,
1434,k127_627339,deep,435601,non-integron,T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8269793501517613,,,,,,,,,
1437,k127_627339,deep,435604,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6533630049587265,,,,,,,,,
1438,k127_627339,deep,435605,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0387903657014173,,,,,,,,,
1439,k127_627339,deep,435606,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3150292100798937,,,,,,,,,
1441,k127_627339,deep,435608,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12248833090536908,,,,,,,,,
1444,k127_627339,deep,435611,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4897742800094749,,,,,,,,,
1447,k127_627339,deep,435614,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2825505980023904,,,,,,,,,
1459,k127_627339,deep,435626,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13860627446939933,,,,,,,,,
1466,k127_627339,deep,435633,non-integron,S,Function unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145473372381608,,,,,,,,,
1468,k127_627339,deep,435635,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.154510921177592,,,,,,,,,
1475,k127_627339,deep,435642,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.629185025774538,,,,,,,,,
1478,k127_627339,deep,435645,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8969634095108234,,,,,,,,,
1479,k127_627339,deep,435646,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9271384218579356,,,,,,,,,
1482,k127_627339,deep,435649,non-integron,J!!!T,"Translation, ribosomal structure and biogenesis!!!Signal transduction mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9481219101969998,,,,,,,,,
1483,k127_627339,deep,435650,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8962315086754871,,,,,,,,,
1484,k127_627339,deep,435651,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3309176421404674,,,,,,,,,
1487,k127_627339,deep,435654,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6817654559799435,,,,,,,,,
1491,k127_627339,deep,435658,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9987470198825168,,,,,,,,,
1492,k127_627339,deep,435659,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0631800194771042,,,,,,,,,
1498,k127_627339,deep,435665,non-integron,T!!!K,Signal transduction mechanisms!!!Transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34350052659908115,,,,,,,,,
1499,k127_627339,deep,435666,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2545834785639665,,,,,,,,,
1504,k127_627339,deep,435671,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.340802364181026,,,,,,,,,
1509,k127_627339,deep,435676,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.255962497930915,,,,,,,,,
1551,k127_3416254,deep,446178,non-integron,R!!!M,General function prediction only!!!Cell wall/membrane/envelope biogenesis,,0.7475205454662635,,,,0.08056162023901674,0.5048402665629121,,,,,,,,,0.6118869569397255,1.244967495356828,,,,,1.137161571896638,,,,,,0.6362053401248354,,,,1.116915444713478,,0.8161347516868636,,,,,,,,,,0.5744484072662105,,,1.1311628409220933,,,,,,,,,,,
1552,k127_3416254,deep,446179,non-integron,,,,,,,,0.15180199402568192,0.22320500887817246,,,,,,,,,0.2367731147338175,0.09619533677792176,,,,,,,,,,,0.03178305552850785,,,,0.09414368187059864,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,k127_1751975,deep,462439,non-integron,I!!!C,Lipid transport and metabolism!!!Energy production and conversion,0.007600063015963417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016760501305550412
1618,k127_8993241,deep,480316,non-integron,R,General function prediction only,,,,,0.032501921715556534,0.020136597879888543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02621422302844618,
1619,k127_8993241,deep,480317,non-integron,E,Amino acid transport and metabolism,,,,,0.04851662837168806,0.06259264459463766,,,,,,,0.0486283847096295,,,,,,,,,,,,,,,,,,,,,,,0.059352364308943674,,,,,,,,,,,,,,,,,,,,,0.030584157434111768,
1620,k127_8993241,deep,480318,non-integron,E,Amino acid transport and metabolism,,,,,0.08244841695838462,0.06334257272010538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12951122452284256,,,,,,,,,,,,,,,,,,,,,0.07794391215381362,
1647,k127_12338232,deep,488538,non-integron,E,Amino acid transport and metabolism,,,,,,,,,0.796371169171018,,,,,,,,,,0.007270870295519706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,k127_12338232,deep,488543,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09777780759581256,,,,,,,
1662,k127_11228558,deep,490077,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,0.8112612309577769,,,,,,,,,,,,,,,,,,,7.920369445129119,,,,,6.511455292344224,,,,,,,,,,,,,,,
1667,k127_10671257,deep,508256,non-integron,X,"Mobilome: prophages, transposons",,,,,,1.6392887553123423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,k127_10671257,deep,508257,non-integron,,,,,,,,1.7343304718362578,,,,,,,1.3569047549489774,,,,,,,,,,,,,,,,,,,,,,,0.5528144343943733,,,,,,,,,,,,,,,,,,,,,,
1673,k127_6765161,deep,510083,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026430513441302587
1684,k127_1195998,deep,514234,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8763748641996617,,,,,,,,,,,,,,,,
1686,k127_2313200,deep,518641,non-integron,G,Carbohydrate transport and metabolism,,0.19567777519974455,,,,,0.03657462450266005,,,,,,,,,,0.1198996597723886,,,,,,,,,,,,,,,0.025529865125240882,,,,,,,,,,,,0.18776411080347488,,,,,,,,,,,,,,
1700,k127_3429516,deep,526803,non-integron,X,"Mobilome: prophages, transposons",0.058331392855240374,0.09234787087900824,,,0.0752072933321974,0.08296518172636477,,0.02360359099580149,0.06710535889651813,,,,0.1369824363985746,0.06108886733688555,0.07484011071149146,,,0.0504678769441894,,0.1419381223492015,,,,,,0.06974581740933769,,,,,,,,,,0.0724177918330548,0.05436574593545849,0.057734320214159335,,,,0.073494596475469,0.0719262704742927,,0.07119402533200818,,,0.0788937987728082,,0.08309933029294175,,0.018782176460145742,0.0636007480716241,,,,0.06614864016790419,0.0855607424773198
1716,k127_7327036,deep,537847,non-integron,E!!!H,Amino acid transport and metabolism!!!Coenzyme transport and metabolism,,0.32506116376421185,,,0.3557755965573851,0.21413683037290532,,0.21190847931092224,0.3571194063575982,0.3209343916221902,,,0.3126661629735253,,,0.2147988260164492,,0.3445769109396023,0.2273649930094296,0.07284169145466084,0.3858368838229102,,,0.0767959411371358,0.23210271913218095,,,,,0.25974341845427634,,,,,0.3397087945748062,0.2283291993485473,0.2429618565007394,0.0755693095558463,,,,,0.21758182851206,,0.20695060746672614,,0.37932925873687856,0.09447495061300852,0.3357994317615947,,0.24503448630815555,,,,,,,0.06966798701419083
1717,k127_7327036,deep,537848,non-integron,J,"Translation, ribosomal structure and biogenesis",,0.166428758895558,0.3379654597269149,,0.10920284192121016,0.24668174202608226,,0.19463329115229447,0.2479503552366167,0.16083748377201068,,,0.21021914213644488,0.2451496859575141,,0.1918806343759134,0.21906647399363413,0.18135741276447198,0.2311431772702477,0.19456224376421571,0.26645014830087543,0.1260644568318591,,0.22352938887651894,0.2251687338255881,,0.1049334771164533,0.0758577626109532,0.36467981818521183,0.11645297364538695,,,,0.10689396029104432,0.134127652445329,0.19099717823728904,,0.2323195797850462,0.13996073282504531,,0.18465378530349988,,0.2254859696552397,,0.20325878459736615,0.32871925948692304,0.2729566657310337,0.2209903651225713,,,0.1745687556904515,0.11008021595659984,,,0.164955181553818,,,0.2105300907553032
1722,k127_9560079,deep,539632,integron,,,,,,,,0.7217137713646988,,,,,,,0.8468584400843215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,k127_9560079,deep,539637,non-integron,L,"Replication, recombination and repair",,,,,,0.9779534774569544,,,,,,,0.8887703626262923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,k127_9560079,deep,539638,non-integron,I,Lipid transport and metabolism,,,,,,1.1890569465060876,,,,,,,0.31578245801120003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,k127_9560079,deep,539639,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,1.2901028141683228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,k127_9560079,deep,539640,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,0.9581787596134166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,k127_9560079,deep,539641,non-integron,I,Lipid transport and metabolism,,,,,,0.7432584151224423,,,,,,,0.6495615295524532,,,,,,,,,,,,,,,,,,,,,,,1.129210018470859,,,,,,,,,,,,,,,,,,,,,,
1732,k127_9560079,deep,539642,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,3.320939291535274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,k127_9560079,deep,539643,non-integron,R!!!K,General function prediction only!!!Transcription,,,,,,1.1429477337664224,,,,,,,2.2170942656425146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,k127_9560079,deep,539644,non-integron,R,General function prediction only,,,,,,1.350177154645524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,k127_9560079,deep,539646,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,1.1495219903300065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,k127_9560079,deep,539647,non-integron,R,General function prediction only,,,,,,0.987459377040228,,,,,,,0.6868168167988956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,k127_9560079,deep,539648,non-integron,,,,,,,,2.234547949848112,,,,,,,1.1369621300623065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,k127_9560079,deep,539650,non-integron,I,Lipid transport and metabolism,,,,,,0.2597516389943459,,,,,,,0.22430945288248488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,k127_9560079,deep,539651,non-integron,,,,,,,,1.9165866281518884,,,,,,,0.9338219895287938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,k127_9560079,deep,539652,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,3.245042832645253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
