bin,depth,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,Percent Transposases,Percent Integrases,Highest Relative Abundance,complete genome size (Mbp),tara_station,size_fraction,biofilm_count,percent_biofilm
NAT-203,SRF,88.46,8.79,55.56,32.46,76,"133,314","34,981","26,169",1.99,96.46,NCBI Assembly,PAAF00000000,n.a.,n.a.,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1765,0,4,0,0.002266289,tara146_bact_surface,2.249604341,tara146,bact,1,0.000566572
NAT-205,SRF,94.71,6.45,78.57,32.94,47,"164,035","52,473","37,201",1.75,95.98,NCBI Assembly,PAIM00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null,Hug et al. phylogenetic marker set,NAT,1546,0,14,0,0.009055627,tara145_bact_surface,1.84774575,tara145,bact,0,0
NAT-206,MES,82.18,7.66,0,43.85,120,"84,489","21,176","18,621",2.23,92.28,figshare,not applicable,n.a.,n.a.,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,null,null,null,Hug et al. phylogenetic marker set,NAT,2089,0,1,0,0.000478698,tara145_bact_meso,2.71355561,tara145,bact,1,0.000478698
NAT-209,MES,78.22,2.94,81.25,59.88,35,"408,275","111,582","69,983",2.45,91.6,NCBI Assembly,PAIO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,null,Hug et al. phylogenetic marker set,NAT,2320,4,16,0.001724138,0.006896552,tara149_prot_meso,3.132191255,tara149,prot,7,0.003017241
NAT-21,SRF,97.1,1.99,8.7,59.08,85,"481,935","92,420","52,913",4.5,90.42,NCBI Assembly,PAIP00000000,TARA_IOS_MAG_00003,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Parvulalarculales,Parvularculaceae,Parvularcula,null,Hug et al. phylogenetic marker set,NAT,4301,21,10,0.004882585,0.002325041,tara148_prot_surface,4.634397528,tara148,prot,10,0.002325041
NAT-210,MES,94.68,6.62,79.31,40.66,20,"1,125,179","342,122","218,625",4.37,91.25,NCBI Assembly,PAIQ00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cytophagaceae,Leeuwenhoekiella,null,Hug et al. phylogenetic marker set,NAT,3688,0,2,0,0.000542299,tara146_prot_meso,4.615547106,tara146,prot,17,0.004609544
NAT-212,MES,79.62,4.35,52.17,62.14,164,"96,997","24,385","21,589",3.54,90.07,NCBI Assembly,PAIS00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,null,Hug et al. phylogenetic marker set,NAT,3365,17,2,0.005052006,0.000594354,tara146_prot_meso,4.446119066,tara146,prot,5,0.001485884
NAT-217,DCM,93.41,8.79,36.36,31.53,51,"151,529","37,395","31,872",1.63,96.81,NCBI Assembly,PAIV00000000,n.a.,n.a.,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1461,0,11,0,0.00752909,tara142_bact_dcm,1.744995183,tara142,bact,1,0.000684463
NAT-218,MES,71.29,3.47,75,55.39,150,"49,207","18,243","16,428",2.46,86.4,NCBI Assembly,PAIW00000000,n.a.,n.a.,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,null,null,null,Hug et al. phylogenetic marker set,NAT,2349,1,20,0.000425713,0.008514261,tara145_bact_meso,3.450694347,tara145,bact,1,0.000425713
NAT-22,SRF,83.11,3.51,25,51.77,268,"92,620","28,581","23,940",6.42,88.94,NCBI Assembly,PAIY00000000,TARA_PSW_MAG_00127,n.a.,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,novelGenus_A,null,Hug et al. phylogenetic marker set,NAT,5082,13,3,0.002558048,0.000590319,tara148_prot_surface,7.724702202,tara148,prot,4,0.000787092
NAT-220,SRF,85.31,9.39,9.09,33.57,70,"107,074","33,544","23,850",1.67,96.55,NCBI Assembly,PAIZ00000000,n.a.,n.a.,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1522,0,13,0,0.008541393,tara145_bact_surface,1.957566522,tara145,bact,2,0.00131406
NAT-221,DCM,76.87,3.42,0,39.82,87,"79,917","24,752","21,068",1.83,88.08,NCBI Assembly,PAJA00000000,n.a.,n.a.,Bacteria,Proteobacteria,Nitrospinae,Nitrospinales,Nitrospinaceae,Nitrospina,null,Hug et al. phylogenetic marker set,NAT,1686,0,2,0,0.00118624,tara151_prot_dcm,2.380642643,tara151,prot,1,0.00059312
NAT-222,SRF,71.66,3.7,0,33.83,25,"221,779","76,603","47,588",1.19,94.38,NCBI Assembly,PAJB00000000,n.a.,n.a.,Bacteria,Chloroflexi,novelClass_F,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1177,0,3,0,0.002548853,tara145_bact_surface,1.660619593,tara145,bact,0,0
NAT-224,SRF,92.12,6.23,27.5,28.3,43,"275,962","71,914","38,187",1.64,96.75,NCBI Assembly,PAJD00000000,n.a.,n.a.,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1501,0,22,0,0.014656895,tara145_bact_surface,1.780286583,tara145,bact,1,0.000666223
NAT-225,SRF,89.51,5.91,91.18,43.94,121,"103,699","35,699","27,316",3.31,89.88,NCBI Assembly,PAJE00000000,TARA_ANE_MAG_00022,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,null,null,null,Hug et al. phylogenetic marker set,NAT,2877,0,3,0,0.001042753,tara145_bact_surface,3.697910848,tara145,bact,2,0.000695169
NAT-23,SRF,100,7.26,6.67,52.73,60,"810,364","230,483","116,920",7.02,92.71,NCBI Assembly,PAAG00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,null,null,Hug et al. phylogenetic marker set,NAT,5915,17,2,0.002874049,0.000338123,tara148_prot_surface,7.02,tara148,prot,7,0.001183432
NAT-231,SRF,78.11,2.92,18.18,37.8,65,"74,631","26,827","22,886",1.49,94.89,NCBI Assembly,PAAD00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,null,null,Alternative phylogenetic marker set,NAT,1297,0,3,0,0.00231303,tara004_bact_surface,1.907566253,tara004,bact,1,0.00077101
NAT-232,SRF,70.65,2.87,46.67,34.71,26,"156,565","76,073","48,414",1.26,94.46,NCBI Assembly,PAAC00000000,TARA_ANE_MAG_00048,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,null,null,null,Hug et al. phylogenetic marker set,NAT,1234,0,3,0,0.002431118,tara146_bact_surface,1.78343949,tara146,bact,2,0.001620746
NAT-236,DCM,91.9,8.7,7.69,36.05,21,"423,982","247,756","105,060",2.21,93.56,figshare,not applicable,TARA_ANE_MAG_00010,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_G,null,Hug et al. phylogenetic marker set,NAT,1909,0,0,0,0,tara152_prot_dcm,2.404787813,tara152,prot,0,0
NAT-237,DCM,85.65,8.45,5.88,43.99,71,"93,261","40,044","26,569",1.89,94.15,NCBI Assembly,NZZX00000000,n.a.,n.a.,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,null,null,Hug et al. phylogenetic marker set,NAT,1739,0,13,0,0.007475561,tara004_bact_dcm,2.206654991,tara004,bact,1,0.000575043
NAT-238,SRF,82.87,7.6,66.67,34.73,70,"85,771","33,444","26,965",1.89,95.61,NCBI Assembly,NZZW00000000,n.a.,n.a.,Archaea,Euryarchaeota,null,null,novelFamily_A,null,null,Hug et al. phylogenetic marker set,NAT,1538,0,1,0,0.000650195,tara146_bact_surface,2.280680584,tara146,bact,0,0
NAT-239,SRF,78.3,2.14,0,68.13,226,"93,712","22,123","19,279",4.36,91.44,NCBI Assembly,NZZV00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_E,null,Hug et al. phylogenetic marker set,NAT,4121,14,2,0.003397234,0.000485319,tara148_prot_surface,5.568326948,tara148,prot,10,0.002426595
NAT-24,MES,72.33,0.52,0,61.11,141,"65,462","22,096","18,980",2.68,91.61,NCBI Assembly,NZZU00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,null,null,null,Hug et al. phylogenetic marker set,NAT,2560,20,2,0.0078125,0.00078125,tara149_prot_meso,3.705239873,tara149,prot,9,0.003515625
NAT-241,SRF,84.41,7.69,0,37.56,85,"79,407","32,328","24,059",2.05,89.53,NCBI Assembly,NZZS00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,null,null,null,Hug et al. phylogenetic marker set,NAT,1957,1,5,0.000510986,0.002554931,tara145_bact_surface,2.428622201,tara145,bact,3,0.001532959
NAT-242,SRF,74.32,2.03,33.33,41.19,128,"97,533","23,643","21,578",2.76,94.47,NCBI Assembly,NZZR00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,novelFamily_D,null,null,Hug et al. phylogenetic marker set,NAT,2229,0,2,0,0.000897263,tara149_prot_surface,3.713670614,tara149,prot,0,0
NAT-245,DCM,72.81,2.06,8.7,31.34,47,"101,032","29,393","25,375",1.19,97.04,NCBI Assembly,NZZP00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_B,null,null,null,Hug et al. phylogenetic marker set,NAT,1300,0,20,0,0.015384615,tara150_bact_dcm,1.63439088,tara150,bact,1,0.000769231
NAT-248,SRF,85.66,6.25,67.39,33.12,48,"128,638","50,973","36,824",1.77,94.66,NCBI Assembly,NZZM00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,null,Hug et al. phylogenetic marker set,NAT,1612,0,14,0,0.008684864,tara152_bact_surface,2.066308662,tara152,bact,1,0.000620347
NAT-249,DCM,72.12,2.04,44.44,52.33,103,"52,400","15,232","15,605",1.61,89.91,NCBI Assembly,NZZL00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,null,null,16S rRNA - SILVA SSURef128,NAT,1649,0,2,0,0.001212856,tara152_prot_dcm,2.23239046,tara152,prot,4,0.002425713
NAT-252,DCM,77.43,3.68,28.57,31.15,79,"49,994","21,147","18,266",1.44,95.21,NCBI Assembly,NZZH00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_G,null,Hug et al. phylogenetic marker set,NAT,1321,0,3,0,0.002271007,tara151_bact_dcm,1.859744285,tara151,bact,0,0
NAT-253,MES,87.72,7.12,3.7,70.81,199,"99,057","26,474","21,693",4.32,91.76,NCBI Assembly,NZZG00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Pimelobacter,null,Hug et al. phylogenetic marker set,NAT,4030,19,0,0.00471464,0,tara152_prot_meso,4.924760602,tara152,prot,15,0.003722084
NAT-255,DCM,90.6,7.45,92.31,42.61,78,"109,333","28,641","25,155",1.96,95.52,NCBI Assembly,NZZE00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,null,Hug et al. phylogenetic marker set,NAT,1923,0,1,0,0.000520021,tara151_bact_dcm,2.163355408,tara151,bact,0,0
NAT-258,SRF,88.51,8.33,3.7,40.99,178,"86,093","22,029","19,484",3.47,94.93,NCBI Assembly,NZZC00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null,Hug et al. phylogenetic marker set,NAT,3283,0,20,0,0.006091989,tara141_bact_surface,3.920460965,tara141,bact,1,0.000304599
NAT-259,SRF,79.18,2.04,70,42.6,82,"110,518","24,999","21,435",1.76,93.03,NCBI Assembly,NZZB00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,null,null,Alternative phylogenetic marker set,NAT,1574,0,0,0,0,tara145_bact_surface,2.222783531,tara145,bact,0,0
NAT-26,DCM,72.51,0,0,52.53,185,"52,104","18,151","17,375",3.21,88.85,NCBI Assembly,NZZA00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,null,null,Hug et al. phylogenetic marker set,NAT,2871,7,3,0.002438175,0.001044932,tara150_prot_dcm,4.42697559,tara150,prot,8,0.002786486
NAT-269,SRF,71.2,3.83,37.5,30.66,72,"60,150","23,024","19,940",1.44,97.08,NCBI Assembly,NZYQ00000000,TARA_ANE_MAG_00070,n.a.,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,novelGenus_B,null,Hug et al. phylogenetic marker set,NAT,1307,0,2,0,0.001530222,tara004_bact_surface,2.02247191,tara004,bact,0,0
NAT-271,SRF,77.72,4.23,100,30.9,31,"165,998","64,687","35,442",1.1,96.81,NCBI Assembly,NZYO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_B,null,null,null,Hug et al. phylogenetic marker set,NAT,1199,0,0,0,0,tara146_bact_surface,1.415337108,tara146,bact,4,0.003336113
NAT-272,DCM,83.82,9.01,13.33,30.33,50,"61,226","26,600","23,510",1.18,96.91,NCBI Assembly,NZYN00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_F,null,Hug et al. phylogenetic marker set,NAT,1065,0,2,0,0.001877934,tara004_bact_dcm,1.407778573,tara004,bact,0,0
NAT-276,MES,91.78,8.43,28.57,64.39,130,"151,519","33,670","27,230",3.54,89.74,NCBI Assembly,NZYJ00000000,TARA_ANW_MAG_00036,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,null,Hug et al. phylogenetic marker set,NAT,3259,14,2,0.004295796,0.000613685,tara142_bact_meso,3.857049466,tara142,bact,10,0.003068426
NAT-278,DCM,70.44,2.64,20,37.06,90,"70,564","22,509","19,760",1.78,91.56,NCBI Assembly,NZYH00000000,n.a.,n.a.,Bacteria,Proteobacteria,Nitrospinae,Nitrospinales,Nitrospinaceae,Nitrospina,null,Hug et al. phylogenetic marker set,NAT,1704,0,2,0,0.001173709,tara151_bact_dcm,2.526973311,tara151,bact,2,0.001173709
NAT-28,SRF,99.13,0.43,0,55.21,43,"2,086,245","2,086,245","92,393",3.97,91.41,NCBI Assembly,NZYF00000000,n.a.,TMED2,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,null,null,null,Hug et al. phylogenetic marker set,NAT,3710,4,2,0.001078167,0.000539084,tara004_bact_surface,4.004842127,tara004,bact,7,0.001886792
NAT-280,DCM,76.6,4.4,0,54.46,82,"70,559","31,313","22,957",1.88,93.58,NCBI Assembly,NZYE00000000,n.a.,n.a.,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,novel_genus,null,Alternative phylogenetic marker set,NAT,1666,0,9,0,0.005402161,tara142_bact_dcm,2.454308094,tara142,bact,3,0.00180072
NAT-282,MES,80.96,5.84,70.59,39.86,155,"105,230","20,654","19,417",3.01,92.24,NCBI Assembly,NZYC00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cytophagaceae,Leeuwenhoekiella,null,Hug et al. phylogenetic marker set,NAT,2628,0,2,0,0.000761035,tara142_bact_meso,3.717885375,tara142,bact,6,0.002283105
NAT-284,DCM,93.59,7.26,0,50.74,31,"293,761","125,665","80,646",2.5,93.95,NCBI Assembly,NZYA00000000,n.a.,TMED224,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_A,null,Hug et al. phylogenetic marker set,NAT,2425,0,2,0,0.000824742,tara151_bact_dcm,2.671225558,tara151,bact,0,0
NAT-288,SRF,76.53,0,0,45.65,43,"139,844","51,214","38,912",1.67,95.93,NCBI Assembly,NZXZ00000000,n.a.,n.a.,Archaea,Euryarchaeota,null,null,novelFamily_D,null,null,Hug et al. phylogenetic marker set,NAT,1361,0,9,0,0.006612785,tara146_bact_surface,2.182150791,tara146,bact,0,0
NAT-290,SRF,97.27,0.61,0,57.06,14,"2,698,294","1,017,722","483,450",6.77,91.75,NCBI Assembly,NZXX00000000,n.a.,n.a.,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,null,null,Hug et al. phylogenetic marker set,NAT,6085,6,7,0.000986031,0.00115037,tara148_prot_surface,6.960008225,tara148,prot,22,0.003615448
NAT-291,SRF,96.12,1.65,12.5,60.31,68,"316,157","122,625","63,623",4.33,90.67,NCBI Assembly,NZXW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor,null,Hug et al. phylogenetic marker set,NAT,4120,13,0,0.00315534,0,tara148_prot_surface,4.504785685,tara148,prot,9,0.002184466
NAT-3,SRF,97.57,6.26,4.17,63.26,120,"260,965","69,816","47,472",5.7,90.29,NCBI Assembly,NZXU00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia,null,Hug et al. phylogenetic marker set,NAT,5417,15,3,0.00276906,0.000553812,tara148_prot_surface,5.841959619,tara148,prot,9,0.001661436
NAT-30,MES,97.41,1.08,0,63.92,88,"326,312","76,478","56,212",4.95,87.51,NCBI Assembly,NZXT00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,null,Hug et al. phylogenetic marker set,NAT,4202,6,1,0.001427891,0.000237982,tara152_bact_meso,5.081613797,tara152,bact,23,0.005473584
NAT-32,DCM,96.62,8.11,26.32,52.55,105,"225,938","81,317","45,554",4.78,91.15,figshare,not applicable,n.a.,n.a.,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,marinegroup,null,Hug et al. phylogenetic marker set,NAT,4182,35,20,0.008369201,0.004782401,tara152_prot_dcm,4.947215897,tara152,prot,3,0.00071736
NAT-33,DCM,97.6,0.43,55.56,70.87,71,"456,168","170,517","73,264",5.2,85.55,NCBI Assembly,NZXQ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,null,null,Hug et al. phylogenetic marker set,NAT,4352,22,13,0.005055147,0.002987132,tara152_prot_dcm,5.327868852,tara152,prot,5,0.001148897
NAT-34,SRF,70.18,0.83,71.43,37.13,41,"170,520","43,029","35,876",1.47,95.63,figshare,not applicable,TARA_ANE_MAG_00034,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_C,null,null,null,Hug et al. phylogenetic marker set,NAT,1457,0,31,0,0.021276596,tara145_bact_surface,2.09461385,tara145,bact,1,0.000686342
NAT-39,SRF,81.62,4.38,34.48,41.67,148,"60,424","20,291","18,533",2.74,91.82,NCBI Assembly,NZXI00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,novel_genusE10,null,Hug et al. phylogenetic marker set,NAT,2567,0,17,0,0.006622517,tara145_bact_surface,3.357020338,tara145,bact,1,0.00038956
NAT-4,SRF,98.15,2.78,20,57.41,69,"340,022","96,350","70,946",4.9,90.9,NCBI Assembly,NZXG00000000,TARA_ANW_MAG_00019,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,null,null,null,Hug et al. phylogenetic marker set,NAT,4284,42,2,0.009803922,0.000466853,tara148_prot_surface,4.992358635,tara148,prot,7,0.001633987
NAT-40,SRF,91.98,3.94,95,58.87,73,"130,990","39,340","30,319",2.21,90.14,NCBI Assembly,NZXF00000000,n.a.,n.a.,Bacteria,Cyanobacteria,null,Synechococcales,Synechococcaceae,Synechococcus,null,Hug et al. phylogenetic marker set,NAT,2437,0,17,0,0.00697579,tara149_prot_surface,2.402696238,tara149,prot,4,0.001641362
NAT-41,DCM,96.69,9.56,22.73,31.16,77,"98,534","44,468","30,290",2.33,95.73,NCBI Assembly,NZXE00000000,TARA_ANE_MAG_00026,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_F,null,Hug et al. phylogenetic marker set,NAT,2094,0,3,0,0.001432665,tara150_bact_dcm,2.409763161,tara150,bact,0,0
NAT-417,DCM,88.45,3.96,100,31.35,22,"187,180","99,430","61,040",1.34,95.7,NCBI Assembly,NZXD00000000,n.a.,n.a.,Bacteria,Chloroflexi,SAR202,null,null,null,null,16S rRNA - SILVA SSURef128,NAT,1293,0,28,0,0.021655066,tara142_bact_dcm,1.514980215,tara142,bact,1,0.000773395
NAT-422,MES,89.01,2.2,0,32.8,57,"107,756","40,042","31,986",1.82,96.21,NCBI Assembly,NZXC00000000,n.a.,n.a.,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1599,0,0,0,0,tara145_bact_meso,2.044714077,tara145,bact,1,0.000625391
NAT-43,DCM,78.83,1.69,50,44.16,104,"75,850","24,026","19,944",2.07,90.6,NCBI Assembly,NZXB00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,novel_genusE3,null,Hug et al. phylogenetic marker set,NAT,1842,0,0,0,0,tara151_prot_dcm,2.625903844,tara151,prot,0,0
NAT-430,SRF,76.47,4.67,22.22,29.79,30,"116,383","41,412","31,276",0.94,96.92,NCBI Assembly,NZXA00000000,TARA_RED_MAG_00009,n.a.,Bacteria,SBR1093,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,970,0,1,0,0.001030928,tara142_bact_surface,1.229240225,tara142,bact,0,0
NAT-441,MES,71.05,4.27,30,30.67,37,"134,738","78,687","38,589",1.43,94.15,NCBI Assembly,NZWY00000000,n.a.,n.a.,Bacteria,Chloroflexi,SAR202-2,novelOrder_B,null,null,null,Hug et al. phylogenetic marker set,NAT,1455,0,2,0,0.00137457,tara145_bact_meso,2.012667136,tara145,bact,0,0
NAT-45,SRF,92,1.61,0,30.81,53,"97,102","44,351","31,401",1.66,95.89,NCBI Assembly,NZWX00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null,Hug et al. phylogenetic marker set,NAT,1489,0,2,0,0.001343183,tara146_bact_surface,1.804347826,tara146,bact,0,0
NAT-453,SRF,71.29,2.2,100,40.06,43,"172,960","42,036","33,376",1.44,94.71,NCBI Assembly,NZWW00000000,n.a.,n.a.,Bacteria,Chloroflexi,Dehalococcoidetes,null,null,null,null,CheckM,NAT,1426,0,1,0,0.000701262,tara146_bact_surface,2.019918642,tara146,bact,0,0
NAT-46,MES,92.66,2.75,58.33,63.68,107,"98,256","35,855","28,449",3.04,90.38,figshare,not applicable,TARA_ANW_MAG_00002,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,null,Hug et al. phylogenetic marker set,NAT,2772,15,2,0.005411255,0.000721501,tara142_bact_meso,3.280811569,tara142,bact,1,0.00036075
NAT-5,SRF,97.72,5.4,86.36,39.58,49,"295,334","99,414","65,298",3.2,91.83,figshare,not applicable,TARA_ANW_MAG_00010,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Aequorivita,null,Hug et al. phylogenetic marker set,NAT,2995,7,0,0.002337229,0,tara148_prot_surface,3.2746623,tara148,prot,10,0.003338898
NAT-501,DCM,70.69,3.45,50,30.75,59,"55,706","21,620","20,172",1.19,96.31,NCBI Assembly,NZWM00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,null,null,null,CheckM,NAT,1067,0,2,0,0.001874414,tara142_bact_dcm,1.683406422,tara142,bact,0,0
NAT-509,SRF,85.78,5.76,28.57,32.51,26,"180,014","53,461","40,646",1.06,96.49,NCBI Assembly,NZWJ00000000,n.a.,n.a.,Bacteria,SBR1093,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1082,0,7,0,0.006469501,tara145_bact_surface,1.235719282,tara145,bact,1,0.000924214
NAT-510,SRF,81.3,2.24,33.33,32.24,21,"170,328","79,283","48,017",1.01,96.32,NCBI Assembly,NZWH00000000,n.a.,n.a.,Bacteria,SBR1093,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1031,0,1,0,0.000969932,tara145_bact_surface,1.242312423,tara145,bact,0,0
NAT-52,DCM,89.21,1.1,0,35.98,84,"69,519","29,120","23,062",1.94,96.06,NCBI Assembly,NZWG00000000,n.a.,n.a.,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1688,0,2,0,0.001184834,tara151_bact_dcm,2.174644098,tara151,bact,0,0
NAT-53,SRF,84.45,1.68,100,30.44,25,"136,069","68,085","41,266",1.03,97.08,NCBI Assembly,NZWF00000000,n.a.,n.a.,Bacteria,SBR1093,null,null,null,null,null,Hug et al. phylogenetic marker set,NAT,1063,0,2,0,0.001881468,tara141_bact_surface,1.219656602,tara141,bact,0,0
NAT-535,SRF,79.14,0.85,0,32.35,33,"150,646","74,485","47,436",1.57,93.8,NCBI Assembly,NZWE00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,null,null,null,null,CheckM,NAT,1428,0,2,0,0.00140056,tara152_bact_surface,1.983826131,tara152,bact,0,0
NAT-54,DCM,74.27,0,0,51.42,45,"97,443","34,542","26,504",1.19,95.81,NCBI Assembly,NZWD00000000,n.a.,n.a.,Archaea,Euryarchaeota,null,null,null,null,null,CheckM,NAT,1031,0,1,0,0.000969932,tara151_bact_dcm,1.602262017,tara151,bact,0,0
NAT-55,SRF,82.89,3.23,25,30.18,89,"154,370","23,339","22,211",1.98,96.74,NCBI Assembly,NZWA00000000,TARA_ANE_MAG_00051,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null,Hug et al. phylogenetic marker set,NAT,1928,0,2,0,0.001037344,tara141_bact_surface,2.388707926,tara141,bact,0,0
NAT-575,MES,78.57,0.2,100,58.89,106,"66,598","23,333","19,765",2.1,87.49,NCBI Assembly,NZVX00000000,n.a.,n.a.,Bacteria,Chloroflexi,novelClass_E,novelOrder_A,null,null,null,Hug et al. phylogenetic marker set,NAT,2030,0,1,0,0.000492611,tara145_bact_meso,2.672775869,tara145,bact,2,0.000985222
NAT-6,MES,97.54,8.47,73.68,71.29,69,"396,638","131,994","72,004",4.97,91.04,NCBI Assembly,NZVU00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Rhodothermaceae,null,null,Hug et al. phylogenetic marker set,NAT,4270,8,2,0.001873536,0.000468384,tara149_prot_meso,5.095345499,tara149,prot,14,0.003278689
