bin,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,percent_trans,Highest Relative Abundance,complete genome size (Mbp),tara_station,biofilm_count,percent_biofilm,defense_count,percent_defense,prot,prot_normalized,bact,bact_over_prot
NP-9,96.71,1.63,0,60.51,59,"379,340","107,182","69,319",4.09,91.96,NCBI Assembly,PBSI00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Haliea,,Hug et al. phylogenetic marker set,NP,3712,21,3,0.5657328,tara138_virus_surface,4.229138662,tara138,9,0.2424569,113,3.044181,0.144901418,0.13751169,0.098791221,0.13751169
NP-90,97.29,0.37,0,58.03,53,"198,101","88,874","67,616",3.58,89.22,NCBI Assembly,PBSH00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,CheckM,NP,3264,5,2,0.1531863,tara137_virus_dcm,3.679720423,tara137,16,0.4901961,84,2.5735294,0.136515947,0.409273124,0.277014633,0.409273124
NP-91,87.93,4.04,33.33,38.53,30,"743,871","383,424","95,477",2.86,92.02,NCBI Assembly,PBSG00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Aequorivita,,CheckM,NP,2673,0,25,0,tara137_virus_meso,3.252587285,tara137,8,0.2992892,65,2.4317247,0.249881348,0.552441774,0.684425922,0.552441774
NP-92,97.29,0.45,0,44.9,78,"413,507","120,059","39,204",3.06,91.23,NCBI Assembly,PBSF00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,,Hug et al. phylogenetic marker set,NP,2932,6,7,0.2046385,tara137_virus_meso,3.145235893,tara137,9,0.3069577,66,2.2510232,0.441174731,0.121507464,0.2657784,0.121507464
NP-931,86.39,9.24,0,39.3,80,"227,145","35,542","22,750",1.82,93.52,NCBI Assembly,PBSC00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Alternative phylogenetic marker set,NP,1753,3,4,0.1711352,tara137_bact_dcm,2.106725315,tara137,2,0.1140901,34,1.9395322,0.62193428,1.157947195,3.570584769,1.157947195
NP-932,76.86,4.46,66.67,39.77,90,"130,553","23,479","19,374",1.74,93.54,NCBI Assembly,PBSB00000000,n.a.,n.a.,Bacteria,Marinimicrobia,,,,,,Hug et al. phylogenetic marker set,NP,1502,0,11,0,tara137_bact_dcm,2.263856362,tara137,3,0.1997337,23,1.5312916,1.368780727,1.426137317,9.678350004,1.426137317
NP-936,86.61,6.63,25,65.28,170,"149,112","36,503","27,293",4.64,89.8,NCBI Assembly,PBRZ00000000,TARA_PON_MAG_00066,n.a.,Bacteria,Acidobacteria,,,novelFamily_B,,,Hug et al. phylogenetic marker set,NP,4138,21,3,0.5074915,tara137_prot_meso,5.357349036,tara137,3,0.0724988,157,3.7941034,0.549106083,0.216754677,0.590107087,0.216754677
NP-937,71.34,2.99,50,64.87,90,"52,755","17,708","17,225",1.55,94.17,NCBI Assembly,PBRY00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,NP,1526,0,2,0,tara137_bact_dcm,2.172694141,tara137,1,0.0655308,26,1.7038008,2.519047853,0.672608882,8.400499564,0.672608882
NP-939,74.3,4.78,86.49,60.86,129,"137,454","26,290","24,034",3.1,91.02,NCBI Assembly,PBRX00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,,,CheckM,NP,2912,24,23,0.8241758,tara137_prot_meso,4.172274563,tara137,6,0.206044,82,2.8159341,7.093431929,0.209927753,7.382991359,0.209927753
NP-94,91.71,0.93,33.33,58.54,133,"127,928","31,905","24,423",3.25,88.51,NCBI Assembly,PBRW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,CheckM,NP,2982,3,2,0.1006036,tara137_virus_meso,3.543779304,tara137,10,0.3353454,66,2.2132797,1.480802099,0.029640638,0.217615923,0.029640638
NP-942,87.79,6.93,0,53.91,73,"204,733","78,786","36,818",2.69,87.64,NCBI Assembly,PBRU00000000,n.a.,n.a.,Bacteria,Chloroflexi,SAR202-2,novelOrder_B,,,,Hug et al. phylogenetic marker set,NP,2497,2,0,0.0800961,tara137_bact_dcm,3.064130311,tara137,1,0.0400481,41,1.6419704,0.11674846,1.476238482,0.854503372,1.476238482
NP-944,80.22,5.08,7.69,32.11,65,"89,317","22,775","19,330",1.26,95.48,NCBI Assembly,PBRS00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,nove_genusE8,,Hug et al. phylogenetic marker set,NP,1236,0,5,0,tara137_prot_dcm,1.570680628,tara137,1,0.0809061,26,2.1035599,1.803384812,7.442538424,66.54502482,7.442538424
NP-945,90.75,9.41,78.95,48.1,142,"114,112","27,502","22,174",3.15,89.8,NCBI Assembly,PBRR00000000,n.a.,n.a.,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novel_genus3,,Alternative phylogenetic marker set,NP,2494,0,17,0,tara133_bact_dcm,3.47107438,tara133,3,0.1202887,43,1.7241379,0.106351312,2.478150439,1.306702185,2.478150439
NP-946,73.19,4.93,0,30.22,63,"139,905","36,638","25,437",1.6,95.52,NCBI Assembly,PBSD00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,,,,CheckM,NP,1530,0,6,0,tara133_bact_dcm,2.186090996,tara133,1,0.0653595,33,2.1568627,0.248942276,4.097963345,5.057930103,4.097963345
NP-948,78.94,2.81,0,50.27,102,"179,947","47,099","31,735",3.24,90.38,NCBI Assembly,PBRQ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,NP,3027,4,2,0.132144,tara137_bact_dcm,4.104383076,tara137,5,0.16518,68,2.2464486,0.083984727,1.448595498,0.603189182,1.448595498
NP-949,86.01,6.05,13.64,50.28,161,"126,391","30,895","24,374",3.92,90.57,NCBI Assembly,PBRP00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,NP,3593,8,1,0.2226552,tara137_bact_dcm,4.55760958,tara137,7,0.1948233,105,2.922349,0.273103435,0.286400064,0.38779872,0.286400064
NP-95,92.65,0.63,12.5,57.12,80,"309,549","99,099","56,246",4.5,88.98,NCBI Assembly,PBRO00000000,TARA_PSE_MAG_00042,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,pseudomonadaceae,,,Hug et al. phylogenetic marker set,NP,4158,5,5,0.1202501,tara137_virus_meso,4.856988667,tara137,21,0.5050505,90,2.1645022,0.077455817,1.147107137,0.440518467,1.147107137
NP-951,84.45,5.16,22.22,40.65,323,"48,470","18,853","16,073",5.19,87.85,NCBI Assembly,PBRN00000000,n.a.,n.a.,Bacteria,Proteobacteria,Zetaproteobacteria,,,,,Hug et al. phylogenetic marker set,NP,4201,1,1,0.0238039,tara137_prot_dcm,6.145648313,tara137,1,0.0238039,59,1.4044275,0.206847898,0.781137212,0.801095952,0.781137212
NP-952,85.61,5.01,0,62.74,293,"47,562","13,778","13,004",3.81,88.39,NCBI Assembly,PBRM00000000,n.a.,n.a.,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,,Hug et al. phylogenetic marker set,NP,3238,0,8,0,tara137_prot_meso,4.450414671,tara137,3,0.0926498,63,1.9456455,0.615260593,0.563418569,1.718685267,0.563418569
NP-954,83.66,5.5,100,46.64,78,"85,780","27,027","20,562",1.6,91,NCBI Assembly,PBRL00000000,n.a.,n.a.,Bacteria,Chloroflexi,SAR202-2,novelOrder_B,,,,Hug et al. phylogenetic marker set,NP,1463,0,10,0,tara133_bact_meso,1.912502988,tara133,0,0,27,1.8455229,0.745235286,1.926158331,7.116910291,1.926158331
NP-955,78.99,3.43,0,46.12,121,"136,302","43,980","32,396",3.92,89.75,NCBI Assembly,PBRK00000000,TARA_PON_MAG_00026,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324cluster,,,,Hug et al. phylogenetic marker set,NP,3584,5,14,0.1395089,tara137_prot_meso,4.9626535,tara137,0,0,48,1.3392857,9.847585641,0.129132965,6.304824295,0.129132965
NP-956,82.23,9.45,0,44.42,107,"182,240","62,638","27,938",2.99,91.32,NCBI Assembly,PBRJ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324cluster,,,,Hug et al. phylogenetic marker set,NP,2677,0,1,0,tara133_bact_surface,3.636142527,tara133,2,0.0747105,61,2.2786702,0.121941549,2.121625714,1.282704375,2.121625714
NP-96,75.78,1.02,20,57.5,224,"58,476","16,742","14,993",3.36,92.06,NCBI Assembly,PBRG00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,Alternative phylogenetic marker set,NP,3217,12,5,0.3730183,tara137_virus_meso,4.433887569,tara137,6,0.1865092,57,1.7718371,1.647096768,0.077418188,0.632219979,0.077418188
NP-960,76.23,2.18,75,60.3,95,"185,531","64,661","43,717",4.15,91.35,NCBI Assembly,PBRF00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseibacillus,,16S rRNA - SILVA SSURef128,NP,2992,1,2,0.0334225,tara138_prot_meso,5.444050899,tara138,1,0.0334225,46,1.5374332,5.128115741,0.05629516,1.431314192,0.05629516
NP-964,81.94,5.74,8.57,48.75,80,"233,734","80,168","47,851",3.83,88.64,NCBI Assembly,PBRC00000000,TARA_ASE_MAG_00019,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,NP,3503,3,1,0.0856409,tara137_bact_dcm,4.674151818,tara137,7,0.1998287,89,2.5406794,1.443995117,0.33551244,2.40204119,0.33551244
NP-965,75,4.8,83.33,47.28,35,"156,830","58,951","40,534",1.42,95.05,NCBI Assembly,PBRB00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_I,,,Hug et al. phylogenetic marker set,NP,1293,0,0,0,tara133_bact_dcm,1.893333333,tara133,0,0,15,1.1600928,0.334795246,7.04166838,11.68855835,7.04166838
NP-966,90.48,7.12,6.67,68.52,45,"128,888","51,356","40,035",1.8,93.95,NCBI Assembly,PBRA00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,NP,1755,0,12,0,tara137_bact_dcm,1.98938992,tara137,1,0.0569801,34,1.9373219,4.548852146,0.830126951,18.72200828,0.830126951
NP-969,80.87,7.27,5,53.03,173,"43,883","16,883","15,478",2.68,89.13,NCBI Assembly,PBQZ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinovum,,Hug et al. phylogenetic marker set,NP,2515,5,6,0.1988072,tara133_bact_surface,3.313960678,tara133,4,0.1590457,41,1.6302187,0.96506437,1.9829746,9.488106075,1.9829746
NP-97,88.72,4.45,36.36,56.82,91,"277,626","67,547","38,566",3.51,90.93,NCBI Assembly,PBQY00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,,Hug et al. phylogenetic marker set,NP,3230,1,7,0.0309598,tara137_prot_meso,3.956266907,tara137,2,0.0619195,63,1.9504644,2.044739268,0.27186355,2.756100309,0.27186355
NP-970,84.48,6.63,3.45,36.29,102,"126,158","35,869","24,896",2.54,94,NCBI Assembly,PBQX00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,novel_genusE5,,Hug et al. phylogenetic marker set,NP,2372,0,2,0,tara137_prot_dcm,3.006628788,tara137,1,0.0421585,35,1.4755481,4.045516146,0.525826069,10.54683497,0.525826069
NP-980,70.76,3.1,17.65,53.49,88,"95,983","29,703","21,965",1.93,92.91,NCBI Assembly,PBQQ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,NP,1857,0,6,0,tara133_bact_surface,2.727529678,tara133,1,0.0538503,37,1.992461,0.272513176,1.741504024,2.352979187,1.741504024
NP-982,71.86,2.27,0,53.2,122,"68,128","16,948","15,508",1.89,93.51,NCBI Assembly,PBQO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,CheckM,NP,1776,0,12,0,tara133_bact_meso,2.630114111,tara133,0,0,59,3.3220721,0.799836125,2.584595125,10.24942813,2.584595125
NP-986,85.3,5.66,0,52.64,157,"58,626","18,253","15,887",2.49,95.19,NCBI Assembly,PBQN00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,,,,CheckM,NP,2185,0,2,0,tara133_bact_surface,2.919109027,tara133,4,0.1830664,37,1.6933638,0.415996867,0.489323046,1.009233896,0.489323046
NP-987,72.35,2.15,20,38.04,84,"58,550","20,332","17,191",1.44,93.67,NCBI Assembly,PBQM00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,,,CheckM,NP,1308,0,1,0,tara133_bact_surface,1.99032481,tara133,0,0,15,1.146789,0.478168001,1.517217387,3.596950148,1.517217387
NP-99,97.22,1.11,0,52.81,245,"214,995","54,252","34,299",8.4,87.27,NCBI Assembly,PBQK00000000,n.a.,n.a.,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,,Hug et al. phylogenetic marker set,NP,6528,16,9,0.245098,tara138_virus_surface,8.64019749,tara138,4,0.0612745,128,1.9607843,0.527475932,0.064583828,0.16890112,0.064583828
NP-992,79.84,4.73,0,51.69,215,"99,457","17,524","15,491",3.33,89.41,NCBI Assembly,PBQI00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Alternative phylogenetic marker set,NP,3268,4,2,0.122399,tara137_bact_dcm,4.170841683,tara137,5,0.1529988,50,1.5299878,0.692940533,0.161132845,0.553587328,0.161132845
NP-993,82.37,9.83,46.67,56.02,117,"138,477","34,436","25,275",2.96,92.82,NCBI Assembly,PBQH00000000,n.a.,n.a.,Bacteria,Acidobacteria,,,,,,CheckM,NP,2535,0,3,0,tara133_bact_meso,3.593541338,tara133,3,0.1183432,57,2.2485207,0.795850267,1.951613588,7.700719381,1.951613588
NP-996,74.43,3.29,0,35.87,92,"65,565","14,396","13,449",1.24,90.82,NCBI Assembly,PBQF00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,,,,,,Hug et al. phylogenetic marker set,NP,1219,1,3,0.0820345,tara137_bact_dcm,1.665994895,tara137,0,0,13,1.0664479,0.154409521,1.586329078,1.214432718,1.586329078
NP-997,93.01,5.38,0,51.7,89,"101,378","38,515","27,328",2.43,95.78,NCBI Assembly,PBQE00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,,,,,Hug et al. phylogenetic marker set,NP,2083,0,15,0,tara137_bact_dcm,2.612622299,tara137,0,0,35,1.6802688,0.144084549,0.754332183,0.538872656,0.754332183
RS-341,86.18,2.96,62.5,28.31,108,"77,822","17,706","14,637",1.58,96.94,NCBI Assembly,PBQB00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,,,Hug et al. phylogenetic marker set,RS,1342,0,0,0,tara032_bact_surface,1.833372012,tara032,0,0,17,1.266766,0.132372555,7.205610322,4.729059971,7.205610322
RS-342,98.99,0.89,0,51.61,38,"690,589","188,884","104,471",3.97,91.5,NCBI Assembly,PBQA00000000,"TARA_RED_MAG_00022, TARA_MED_MAG_00058",n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,,,Hug et al. phylogenetic marker set,RS,3691,14,9,0.379301,tara034_bact_dcm,4.010506112,tara034,9,0.2438364,95,2.5738282,3.189582116,0.512042171,8.097400419,0.512042171
RS-344,76.4,0.68,100,62.65,96,"39,726","17,262","13,992",1.34,93.28,NCBI Assembly,PBPY00000000,n.a.,n.a.,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,Hug et al. phylogenetic marker set,RS,1536,0,0,0,tara033_bact_surface,1.753926702,tara033,2,0.1302083,17,1.1067708,24.32109922,2.056068233,247.9287101,2.056068233
RS-348,78.51,1.92,100,49.5,102,"112,148","22,414","18,018",1.84,95.99,NCBI Assembly,PBPV00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_L,,,Hug et al. phylogenetic marker set,RS,1470,1,1,0.0680272,tara032_bact_dcm,2.34365049,tara032,0,0,21,1.4285714,0.181787255,23.4920126,21.1733587,23.4920126
RS-349,86.75,2.99,25,46,126,"75,218","21,860","15,716",1.98,94.13,NCBI Assembly,PBPU00000000,TARA_RED_MAG_00083,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_C,,Hug et al. phylogenetic marker set,RS,1976,0,3,0,tara032_bact_dcm,2.282420749,tara032,0,0,42,2.1255061,0.150563213,12.07607145,9.014686874,12.07607145
RS-350,90.11,0,0,36.5,82,"335,231","68,576","28,756",2.36,96,NCBI Assembly,PBPT00000000,n.a.,n.a.,Bacteria,Marinimicrobia,,,,,,Hug et al. phylogenetic marker set,RS,2418,0,2,0,tara032_bact_dcm,2.619021196,tara032,3,0.1240695,32,1.3234078,0.134154564,13.68935927,9.105308647,13.68935927
RS-352,82.36,3.33,100,36.88,68,"66,947","24,244","18,304",1.24,96.7,NCBI Assembly,PBPR00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,,,,Hug et al. phylogenetic marker set,RS,1154,0,0,0,tara034_bact_surface,1.505585236,tara034,0,0,23,1.9930676,0.602407817,8.503588637,25.39796614,8.503588637
RS-355,95.75,0.83,66.67,62.72,154,"186,511","50,644","36,835",5.67,88.16,NCBI Assembly,PBPP00000000,n.a.,n.a.,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,seropedicae,Hug et al. phylogenetic marker set,RS,5072,5,11,0.0985804,tara034_girus_surface,5.921671018,tara034,18,0.3548896,100,1.9716088,0.418118302,0.48228967,0.999800238,0.48228967
RS-361,98.26,3.74,40,61.5,137,"173,620","42,555","21,507",2.95,90.77,NCBI Assembly,PBPM00000000,TARA_RED_MAG_00007,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Hug et al. phylogenetic marker set,RS,2883,0,2,0,tara032_bact_dcm,3.002238958,tara032,5,0.1734305,48,1.6649324,0.033952863,7.601839291,1.279679413,7.601839291
RS-363,91.45,1.61,0,62.56,259,"92,591","25,191","18,564",4.81,94.08,NCBI Assembly,PBPL00000000,TARA_RED_MAG_00032,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,Hug et al. phylogenetic marker set,RS,3849,1,2,0.0259808,tara034_bact_dcm,5.259704757,tara034,0,0,53,1.376981,0.9928183,0.117975265,0.580720068,0.117975265
RS-364,96.09,1.96,0,58.47,19,"827,434","538,059","164,726",3.13,91.16,NCBI Assembly,PBPK00000000,n.a.,TMED2,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,,,,Hug et al. phylogenetic marker set,RS,2920,5,2,0.1712329,tara034_bact_dcm,3.257362889,tara034,8,0.2739726,64,2.1917808,4.882759728,0.331145755,8.016607943,0.331145755
RS-367,99.48,6.31,92.86,64.62,11,"1,315,945","412,721","283,703",3.12,91.69,NCBI Assembly,PBPI00000000,TARA_RED_MAG_00001,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Citromicrobium,,Hug et al. phylogenetic marker set,RS,2991,5,19,0.1671682,tara034_bact_dcm,3.136308806,tara034,1,0.0334336,76,2.5409562,2.075481462,0.658918907,6.780425155,0.658918907
RS-371,84.16,3.17,0,43.24,125,"104,863","26,735","16,783",2.1,92.12,NCBI Assembly,PBPE00000000,n.a.,n.a.,Bacteria,Chloroflexi,Dehalococcoidetes,,,,,CheckM,RS,2045,0,2,0,tara034_bact_dcm,2.495247148,tara034,0,0,25,1.2224939,0.083843526,4.651671561,1.933680311,4.651671561
RS-372,71.25,0.62,0,52.02,167,"33,370","10,168","9,738",1.63,93.6,NCBI Assembly,PBPD00000000,TARA_PSE_MAG_00045,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,,Hug et al. phylogenetic marker set,RS,1650,1,5,0.0606061,tara034_bact_dcm,2.287719298,tara034,7,0.4242424,26,1.5757576,0.351443673,0.488740839,0.851609421,0.488740839
RS-373,85.55,2.3,0,51.69,100,"147,188","44,942","23,981",2.4,93.21,NCBI Assembly,PBPC00000000,TARA_RED_MAG_00065,n.a.,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,,,,Hug et al. phylogenetic marker set,RS,2121,0,2,0,tara034_bact_dcm,2.805376973,tara034,2,0.0942951,56,2.640264,0.331701409,5.007188939,8.234692637,5.007188939
RS-380,85.02,3.91,25,42.82,169,"112,393","26,944","18,563",3.14,91.62,NCBI Assembly,PBOX00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,novel_genusE10,,Hug et al. phylogenetic marker set,RS,2937,0,3,0,tara034_bact_dcm,3.693248647,tara034,4,0.1361934,38,1.2938372,0.639719728,2.331370644,7.394471948,2.331370644
RS-381,76.84,0,0,47.61,97,"56,049","19,682","15,354",1.49,93.82,NCBI Assembly,PBOW00000000,n.a.,n.a.,Bacteria,Chloroflexi,novelClass_F,,,,,Hug et al. phylogenetic marker set,RS,1413,0,2,0,tara032_bact_dcm,1.939094222,tara032,0,0,22,1.556971,0.238857077,4.541924254,5.378783929,4.541924254
RS-382,79.09,0.43,100,46.42,172,"65,583","17,587","14,241",2.45,91.85,NCBI Assembly,PBOV00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,CheckM,RS,2300,1,3,0.0434783,tara032_bact_dcm,3.097736756,tara032,1,0.0434783,31,1.3478261,0.06952797,7.091431479,2.444553568,7.091431479
RS-383,90.77,4.44,0,60.79,228,"168,332","39,492","27,455",6.26,93.33,NCBI Assembly,PBOU00000000,TARA_RED_MAG_00050,n.a.,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_I,,Hug et al. phylogenetic marker set,RS,4747,3,3,0.0631978,tara034_bact_dcm,6.896551724,tara034,0,0,85,1.7906046,1.891901924,0.203871779,1.91232556,0.203871779
RS-384,80.34,2.14,0,45.16,81,"131,955","28,968","19,698",1.6,95.15,NCBI Assembly,PBOT00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,RS,1530,0,1,0,tara034_bact_dcm,1.991535972,tara034,0,0,24,1.5686275,0.274322279,9.569497785,13.01536418,9.569497785
RS-386,99.13,3.31,40,48.33,75,"210,165","110,080","45,527",3.41,90.88,NCBI Assembly,PBOR00000000,TARA_IOS_MAG_00004,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Hug et al. phylogenetic marker set,RS,3196,0,3,0,tara032_bact_dcm,3.439927368,tara032,6,0.1877347,38,1.1889862,0.227089156,2.37862959,2.678115552,2.37862959
RS-387,82.91,4.02,28.57,43.08,82,"145,422","42,737","21,957",1.8,95.7,NCBI Assembly,PBOQ00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,RS,1758,0,0,0,tara034_bact_dcm,2.171028826,tara034,0,0,42,2.3890785,0.170306473,15.36929796,12.97750734,15.36929796
RS-388,84.71,3.08,0,52.03,111,"119,005","30,122","20,046",2.23,87.99,NCBI Assembly,PBOP00000000,n.a.,n.a.,Bacteria,Chloroflexi,SAR202-2,novelOrder_B,,,,Hug et al. phylogenetic marker set,RS,2021,1,2,0.0494805,tara032_bact_dcm,2.63251092,tara032,0,0,28,1.3854527,0.056250786,6.518240981,1.817879557,6.518240981
RS-389,90.01,2.81,75,37.26,79,"81,200","28,487","19,581",1.55,96.48,NCBI Assembly,PBOO00000000,n.a.,n.a.,Bacteria,Marinimicrobia,,,,,,Hug et al. phylogenetic marker set,RS,1450,0,2,0,tara034_bact_surface,1.722030885,tara034,1,0.0689655,32,2.2068966,0.200166042,23.26323659,23.08695398,23.26323659
RS-391,84.62,2.99,25,53.09,98,"123,478","36,811","21,215",2.08,94.91,NCBI Assembly,PBOM00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,,,,,CheckM,RS,2029,0,2,0,tara034_bact_dcm,2.458047743,tara034,0,0,34,1.6757023,0.176906239,7.120839166,6.245689998,7.120839166
RS-392,76.4,0.8,0,52.4,52,"99,460","36,385","27,181",1.41,95.89,NCBI Assembly,PBOL00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_H,,,Hug et al. phylogenetic marker set,RS,1250,0,1,0,tara034_bact_dcm,1.845549738,tara034,0,0,14,1.12,0.085592542,11.3194147,4.803590682,11.3194147
RS-394,71.95,0,0,61.57,120,"94,882","18,271","15,800",1.9,89.51,NCBI Assembly,PBOK00000000,TARA_RED_MAG_00076,n.a.,Bacteria,Chloroflexi,novelClass_E,novelOrder_A,,,,Hug et al. phylogenetic marker set,RS,1825,0,1,0,tara034_bact_dcm,2.640722724,tara034,1,0.0547945,29,1.5890411,0.10419422,2.673555184,1.381143738,2.673555184
RS-395,92.5,2.22,0,62.44,175,"246,695","50,924","32,510",5.69,93.48,NCBI Assembly,PBOJ00000000,n.a.,n.a.,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_I,,Hug et al. phylogenetic marker set,RS,4204,0,2,0,tara034_bact_dcm,6.151351351,tara034,0,0,79,1.8791627,0.963726687,0.397469911,1.899171746,0.397469911
RS-397,83.36,1.03,86.67,64.92,174,"63,806","16,692","13,272",2.31,92.42,NCBI Assembly,PBOH00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,,,CheckM,RS,2231,1,7,0.0448229,tara034_bact_dcm,2.771113244,tara034,6,0.2689377,49,2.1963245,6.41170034,0.299821851,9.531090551,0.299821851
RS-398,99.86,7.06,0,56.56,287,"132,605","45,945","27,134",7.79,88.92,NCBI Assembly,PBOG00000000,n.a.,n.a.,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_E,,Hug et al. phylogenetic marker set,RS,5721,0,4,0,tara034_bact_dcm,7.80092129,tara034,4,0.0699178,105,1.8353435,2.560148279,0.073092899,0.927782992,0.073092899
